,Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
6826,ITA,TT,Brennero.Pass,111290,SRC-TMYx,47.0018,11.5061,1,1394.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Brennero.Pass.111290_TMYx.2007-2021.zip
6827,ITA,TT,Brennero.Pass,111290,SRC-TMYx,47.0018,11.5061,1,1394.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Brennero.Pass.111290_TMYx.2009-2023.zip
6828,ITA,TT,Brennero.Pass,111290,SRC-TMYx,47.0018,11.5061,1,1394.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Brennero.Pass.111290_TMYx.zip
6829,ITA,TT,San.Valentino.Alla.Muta,160080,Custom-160080,46.7619,10.5344,1,1461.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.2004-2018.zip
6830,ITA,TT,San.Valentino.Alla.Muta,160080,SRC-TMYx,46.7619,10.5344,1,1461.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.2007-2021.zip
6831,ITA,TT,San.Valentino.Alla.Muta,160080,SRC-TMYx,46.7619,10.5344,1,1461.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.2009-2023.zip
6832,ITA,TT,San.Valentino.Alla.Muta,160080,SRC-TMYx,46.7619,10.5344,1,1461.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.zip
6833,ITA,TT,Reschen.Pass,160083,Custom-160083,46.833,10.5,1,1800.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Reschen.Pass.160083_TMYx.2004-2018.zip
6834,ITA,TT,Reschen.Pass,160083,SRC-TMYx,46.833,10.5,1,1800.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Reschen.Pass.160083_TMYx.2007-2021.zip
6835,ITA,TT,Reschen.Pass,160083,SRC-TMYx,46.833,10.5,1,1800.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Reschen.Pass.160083_TMYx.2009-2023.zip
6836,ITA,TT,Reschen.Pass,160083,SRC-TMYx,46.833,10.5,1,1800.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/TT_Trentino-Alto_Adige/ITA_TT_Reschen.Pass.160083_TMYx.zip
